epoch,cgan,klcgan,pearson,epoch,wcgan
20,0.61310613,0.79285765,0.63848954,100,1.61475
40,0.55734396,0.6452958,0.59388834,200,1.5691713
60,0.56347734,0.54746187,0.501514,300,1.5159545
80,0.45242873,0.5021148,0.48616588,400,1.4449593
100,0.39403972,0.45242992,0.3825374,500,1.3518022
120,0.41443446,0.43093562,0.34444022,600,1.2408996
140,0.37196094,0.4721026,0.35143608,700,1.1404147
160,0.3594917,0.3325191,0.315598,800,1.1081196
180,0.33471343,0.33068016,0.29752076,900,1.1717831
200,0.32844058,0.3812629,0.31171378,1000,1.2158875
220,0.33618972,0.2962073,0.2873527,1100,1.0968628
240,0.3243407,0.297471,0.2847161,1200,0.94731355
260,0.34341693,0.28404912,0.3172729,1300,0.8191712
280,0.35392162,0.3193725,0.28731653,1400,0.7292378
300,0.3429311,0.29461932,0.29378006,1500,0.662511
320,0.33410874,0.30699673,0.29557526,1600,0.6489946
340,0.32283866,0.33435035,0.27614832,1700,0.66045225
360,0.35934982,0.25635654,0.27046615,1800,0.65570647
380,0.36442837,0.2638137,0.27805156,1900,0.6483858
400,0.36457807,0.289993,0.34096164,2000,0.63372934
420,0.34524253,0.2623529,0.29010385,2100,0.625102
440,0.35483712,0.2768778,0.2769162,2200,0.62047064
460,0.37781742,0.2944355,0.27918342,2300,0.60422915
480,0.33641464,0.25932226,0.26317322,2400,0.60326254
500,0.40542427,0.25947547,0.2785668,2500,0.6001635
520,0.34614146,0.36261165,0.3128175,2600,0.5981141
540,0.39158517,0.26317447,0.27119136,2700,0.589778
560,0.37755254,0.2689056,0.2649031,2800,0.59227693
580,0.3824425,0.25966373,0.25766274,2900,0.58368003
600,0.35484955,0.2720112,0.2563478,3000,0.5750288
620,0.39363563,0.28215447,0.30855256,3100,0.5660455
640,0.42937335,0.3151231,0.33975974,3200,0.5622934
660,0.36778912,0.27915183,0.2546744,3300,0.56333137
680,0.3683934,0.26567802,0.272159,3400,0.55979794
700,0.36021167,0.28081724,0.26939166,3500,0.55116117
720,0.3779094,0.28769892,0.26022097,3600,0.55012137
740,0.37072957,0.25169837,0.2536462,3700,0.5565043
760,0.35498592,0.2548628,0.24895473,3800,0.5606206
780,0.38288087,0.26235864,0.30516976,3900,0.55832916
800,0.34707397,0.2675255,0.2630641,4000,0.5379347
820,0.35184306,0.26072848,0.25458002,4100,0.5435767
840,0.39253533,0.33975345,0.2859544,4200,0.5485582
860,0.35382548,0.27873677,0.24285194,4300,0.52937543
880,0.37459534,0.25628152,0.27217954,4400,0.54310054
900,0.37681985,0.2671715,0.30150893,4500,0.5304542
920,0.36071837,0.27509132,0.25562248,4600,0.52655226
940,0.43754303,0.29829824,0.2737926,4700,0.5259543
960,0.3841252,0.47904792,0.29215488,4800,0.52278185
980,0.46167028,0.27831447,0.26079112,4900,0.52440006
1000,0.55709285,0.28457594,0.25709015,5000,0.513469
1020,0.44220313,0.4768767,0.24592105,5100,0.50427645
1040,0.53237236,0.29899028,0.27791634,5200,0.49884647
1060,0.52572817,0.4529329,0.26333445,5300,0.49622956
1080,0.49933437,0.30142862,0.26842448,5400,0.48958823
1100,0.553604,0.32335967,0.32011497,5500,0.4829441
1120,0.5440986,0.29426938,0.31065315,5600,0.48202932
1140,0.5714262,0.2954616,0.26396596,5700,0.47340566
1160,0.52059954,0.29833055,0.28204274,5800,0.47168598
1180,0.57664853,0.30854633,0.28055632,5900,0.45602262
1200,0.4333075,0.29383975,0.29902795,6000,0.45998374
1220,0.45041692,0.29137498,0.28471664,6100,0.43738633
1240,0.5825644,0.29008293,0.31373036,6200,0.43689427
1260,0.40247303,0.38046718,0.28586397,6300,0.42897156
1280,0.45307434,0.43827114,0.27257955,6400,0.4298891
1300,0.4311668,0.29508725,0.30629867,6500,0.41944683
1320,0.5037193,0.3040493,0.31063396,6600,0.4062826
1340,0.38879004,0.3298475,0.33609945,6700,0.39852333
1360,0.40985566,0.28707373,0.314144,6800,0.39706936
1380,0.47043267,0.30997607,0.4044059,6900,0.383797
1400,0.37189788,0.3309589,0.26836622,7000,0.37910435
1420,0.42267936,0.3239688,0.31187356,7100,0.37079933
1440,0.34166688,0.32551587,0.3852888,7200,0.36943057
1460,0.54478097,0.2992543,0.28324068,7300,0.35873353
1480,0.44913948,0.37700316,0.2594902,7400,0.358119
1500,0.4921904,0.30813834,0.28376302,7500,0.35637406
1520,0.3794408,0.31714976,0.393557,7600,0.34894294
1540,0.41879714,0.32618377,0.26088595,7700,0.3414327
1560,0.4459897,0.33724228,0.27862236,7800,0.3368026
1580,0.48769107,0.34821373,0.32846272,7900,0.33880538
1600,0.4799404,0.3643967,0.2934147,8000,0.3316712
1620,0.5240074,0.3294088,0.34127858,8100,0.33184987
1640,0.43244815,0.3119127,0.26572978,8200,0.32853875
1660,0.40006092,0.32631272,0.2966858,8300,0.32678112
1680,0.507593,0.34473702,0.3079185,8400,0.32261804
1700,0.46453038,0.3477801,0.26061022,8500,0.3282621
1720,0.3867397,0.3233283,0.30432796,8600,0.32217485
1740,0.39650595,0.3688686,0.28523177,8700,0.32078898
1760,0.5674349,0.35412872,0.2956185,8800,0.3209968
1780,0.5816242,0.39511976,0.27269655,8900,0.3209042
1800,0.54604894,0.39079908,0.27229652,9000,0.3206925
1820,0.7028172,0.36522344,0.30982187,9100,0.3156163
1840,0.70212495,0.3407354,0.33586463,9200,0.31350467
1860,0.48823354,0.36004668,0.29103434,9300,0.309762
1880,0.51194805,0.49446553,0.33690846,9400,0.310298
1900,0.42924708,0.33961177,0.27835405,9500,0.31206483
1920,0.5485477,0.33464703,0.32808676,9600,0.30766717
1940,0.5337672,0.37816522,0.30837327,9700,0.30655465
1960,0.7041249,0.3407895,0.34607413,9800,0.3024482
1980,0.75098413,0.30407116,0.34103167,9900,0.30169383
2000,0.47210744,0.33321378,0.48767135,10000,0.30609477
,,,,10100,0.2960199
,,,,10200,0.29575032
,,,,10300,0.29891318
,,,,10400,0.29721603
,,,,10500,0.29537624
,,,,10600,0.28782433
,,,,10700,0.29936862
,,,,10800,0.28918764
,,,,10900,0.29712063
,,,,11000,0.28758645
,,,,11100,0.29574722
,,,,11200,0.28717694
,,,,11300,0.28983843
,,,,11400,0.29066566
,,,,11500,0.28260654
,,,,11600,0.28640455
,,,,11700,0.28536192
,,,,11800,0.2934972
,,,,11900,0.2928932
,,,,12000,0.28472593
,,,,12100,0.29173568
,,,,12200,0.28511244
,,,,12300,0.29206192
,,,,12400,0.2863548
,,,,12500,0.2951394
,,,,12600,0.2870351
,,,,12700,0.2918002
,,,,12800,0.2886126
,,,,12900,0.28624701
,,,,13000,0.293354
,,,,13100,0.28638113
,,,,13200,0.2881349
,,,,13300,0.2793959
,,,,13400,0.27332887
,,,,13500,0.28019193
,,,,13600,0.27945733
,,,,13700,0.2787129
,,,,13800,0.28220654
,,,,13900,0.2735084
,,,,14000,0.2739694
,,,,14100,0.28301147
,,,,14200,0.26974934
,,,,14300,0.27768594
,,,,14400,0.27480376
,,,,14500,0.27252576
,,,,14600,0.27049854
,,,,14700,0.2814882
,,,,14800,0.27760863
,,,,14900,0.2721868
,,,,15000,0.27988607
,,,,15100,0.27185452
,,,,15200,0.2739611
,,,,15300,0.27301198
,,,,15400,0.27979365
,,,,15500,0.26445857
,,,,15600,0.2667528
,,,,15700,0.263458
,,,,15800,0.26726857
,,,,15900,0.26687917
,,,,16000,0.26881513
,,,,16100,0.27186733
,,,,16200,0.26667616
,,,,16300,0.2732311
,,,,16400,0.27502432
,,,,16500,0.270028
,,,,16600,0.26630464
,,,,16700,0.2845525
,,,,16800,0.27376422
,,,,16900,0.28004307
,,,,17000,0.2798906
,,,,17100,0.26900283
,,,,17200,0.2907333
,,,,17300,0.2750797
,,,,17400,0.2792866
,,,,17500,0.26680532
,,,,17600,0.28767306
,,,,17700,0.26799062
,,,,17800,0.27865618
,,,,17900,0.26856408
,,,,18000,0.26931918
,,,,18100,0.26776767
,,,,18200,0.26904723
,,,,18300,0.27126205
,,,,18400,0.28029355
,,,,18500,0.27753115
,,,,18600,0.2710295
,,,,18700,0.27761525
,,,,18800,0.2819331
,,,,18900,0.2795981
,,,,19000,0.2819546
,,,,19100,0.2800494
,,,,19200,0.2754153
,,,,19300,0.27514485
,,,,19400,0.28350058
,,,,19500,0.26844606
,,,,19600,0.26737207
,,,,19700,0.2760968
,,,,19800,0.2826533
,,,,19900,0.26638186
,,,,20000,0.27083457
