,cond w1 dist (test),cond w2 dist (test)
0,5.2666364,6.517479
1,4.6264277,6.139205
2,0.74288183,0.91902685
3,1.8706139,2.3756185
4,5.3367386,5.9897985
5,3.4065418,3.4912608
6,1.259087,1.4252169
7,3.5015948,3.8150845
8,1.9191331,2.4275897
9,2.1705894,2.5520074
10,4.293652,4.5352077
11,1.4958701,1.6760448
12,1.4421846,1.7538936
13,3.242619,3.3431406
14,0.49633086,0.66559744
15,0.324537,0.39758614
16,0.64633197,0.6848195
17,0.74502176,0.8153496
18,0.7661808,0.827031
19,0.23749034,0.31132263
20,1.6107974,1.6413213
21,1.2646625,1.2917548
22,1.8468002,1.9640329
23,0.582571,0.6084797
24,0.121628664,0.19073288
25,1.1457115,1.1739453
26,1.1494718,1.1707532
27,0.91079026,0.9728715
28,0.70143276,0.7831006
29,1.8695517,1.9069974
30,0.42697173,0.47420916
31,2.3181283,2.3728158
32,0.4036984,0.42182723
33,1.2618159,1.2690911
34,1.9462717,1.9660954
35,1.5991335,1.6207135
36,2.2977676,2.3734448
37,1.4585317,1.4742106
38,0.95837986,0.9962001
39,0.75825006,0.7725779
40,0.6194989,0.7311278
41,0.8647253,0.93635166
42,0.6782067,0.7518252
43,0.339097,0.40086243
44,0.3757676,0.4893537
45,0.6165503,0.6874458
46,1.2340269,1.3062271
47,0.50653905,0.5732971
48,1.4015342,1.433332
49,0.2691898,0.36327213
